"Bill of Material for fMUX_MB.PrjPCB"
"On 11/7/2007 at 10:06:57 PM"

"Comment","Pattern","Quantity","Components"

"0 EXB-2HVR000V","0402_Array_2HV","11","RT11, RT12, RT13, RT14, RT15, RT16, RT17, RT18, RT19, RT20, RT21","Isolated Resistor Network"
"0.01uF","CC1005-0402","10","C236, C237, C240, C245, C249, C250, C251, C255, C266, C268","Capacitor (Semiconductor SIM Model)"
"0.01uF","CC1608-0603","4","C259, C260, C261, C262","Capacitor (Semiconductor SIM Model)"
"0.1uF","CC1608-0603","60","C1, C2, C3, C4, C5, C6, C7, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C238, C241, C242, C252, C256, C257, C267, C269, C277, C278, C279, C280, C281, C282, C283, C285, C286, C287, C329, C332, C335, C338, C601, CP2, CRT1_1, CRT1_2, CRT1_3, CRT1_4, CRT1_5, CRT1_6, CRT1_7, CRT1_8, CT2, CT4, CTemp_1, CTemp_2, CTemp_3","Capacitor (Semiconductor SIM Model)"
"0.22uF","CC1608-0603","51","C14, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C149, C150, C151, C152, C153, C154, C155, C156, C157, C204, C205, C206, C207, C208, C209, C210, C211, C212, C213, C214, C215, C216, C217, C218, C219, C220","Capacitor (Semiconductor SIM Model)"
"0.68uF","CC3216-1206","22","C130, C131, C132, C133, C134, C135, C136, C137, C138, C139, C169, C170, C172, C173, C221, C222, C223, C224, C225, C226, C227, C228","Capacitor (Semiconductor SIM Model)"
"0","CR1608-0603","21","R34, R35, R36, R37, R38, R39, R40, R44, R45, R46, R71, R77, R91, R105, R113, R119, R120, R121, R124, R128, R133","Resistor 0603"
"1.2 uH, 2.38 mOhm, 20A, MLC1255-122ML","MLC_inductor","3","L3_1, L3_2, L3_3","Inductor"
"1.5K","CR1608-0603","1","R165","Resistor 0603"
"100","CR1608-0603","7","R11, R12, R42_1, R42_2, R42_3, R167, R168","Semiconductor Resistor"
"100K","CR1608-0603","7","R25_1, R25_2, R25_3, RP3, RP5, RP18, RP19","Semiconductor Resistor"
"100uF x 10V","TC6032-2412","33","C8_1, C8_2, C8_3, C9_1, C9_2, C9_3, C10_1, C10_2, C10_3, C11_1, C11_2, C11_3, C12_1, C12_2, C12_3, C17, C20, C23, C26, C27, C28, C29, C271, C272, C274, C275, C289, C290, C325, C326, C328, C331, C345","CAP TANTC TPSC107K010R0075"
"100uF x 16V","CC7343-31_Dsize","6","C327, C330, C333, C334, C336, C337","CAP TANTD TPSD107M016R0060"
"10K EXB-2HV103JV","0402_Array_2HV","2","RT9, RT10","Isolated Resistor Network"
"10K","1608[0603]","1","R501","Semiconductor Resistor"
"10K","CR1608-0603","30","R1, R13, R21, R22, R75, R76, R112, R118, R132, R155, R156, R157, R158, R159, R160, R161, R162, R500, RP1, RP2, RP4, RP6, RP11, RP13, RP15, RP16, RP17, RP20, RP21, RP22","Resistor 0603"
"10uF x 25V","TC6032-2412","6","C243, C246, C253, C258, C270, C284","CAP POL B45197A5106K309"
"120","CR1608-0603","2","R104, R109","Resistor 0603"
"1206YD106KAT2A, 10uF, 16V, Ceramic","CC3225-1210","6","C15_1, C15_2, C15_3, CP1, CT1, CT3","CAP POL 1206YD106KAT2A"
"160","CR1608-0603","5","R48, R49, R51, R54, R456","Resistor 0603"
"170K","CR1608-0603","1","R164","Resistor 0603"
